INWOOD-207 ST,A,04/02/2017,4410
145 ST,ABCD,04/02/2017,11997
W 4 ST-WASH SQ,ABCDEFM,04/02/2017,22887
125 ST,ACBD,04/02/2017,14953
CANAL ST,ACE,04/02/2017,5850
CANAL ST,ACE,04/02/2017,5850
CHAMBERS ST,ACE23,04/02/2017,7992
14 ST,ACEL,04/02/2017,7893
42 ST-PORT AUTH,ACENQRS1237W,04/02/2017,44512
FULTON ST,ACJZ2345,04/02/2017,7597
103 ST,BC,04/02/2017,2246
116 ST,BC,04/02/2017,3545
135 ST,BC,04/02/2017,2165
72 ST,BC,04/02/2017,5426
81 ST-MUSEUM,BC,04/02/2017,7481
86 ST,BC,04/02/2017,4059
96 ST,BC,04/02/2017,3576
CATHEDRAL PKWY,BC,04/02/2017,3773
155 ST,BD,04/02/2017,1853
GRAND ST,BD,04/02/2017,1
7 AV,BDE,04/02/2017,1
47-50 STS ROCK,BDFM,04/02/2017,12016
42 ST-BRYANT PK,BDFM7,04/02/2017,9287
34 ST-HERALD SQ,BDFMNQRW,04/02/2017,49461
B'WAY-LAFAYETTE,BDFQ6,04/02/2017,7793
163 ST-AMSTERDM,C,04/02/2017,2509
23 ST,CE,04/02/2017,8993
SPRING ST,CE,04/02/2017,4136
5 AV/53 ST,EM,04/02/2017,0
57 ST,F,04/02/2017,7550
EAST BROADWAY,F,04/02/2017,8128
LEXINGTON AV/63,F,04/02/2017,9059
DELANCEY/ESSEX,FJMZ,04/02/2017,14707
14 ST,FLM123,04/02/2017,7127
14 ST,FLM123,04/02/2017,7127
6 AV,FLM123,04/02/2017,3028
23 ST,FM,04/02/2017,8141
CANAL ST,JNQRZ6W,04/02/2017,36997
BOWERY,JZ,04/02/2017,3061
BROAD ST,JZ,04/02/2017,2405
CHAMBERS ST,JZ456,04/02/2017,2259
1 AV,L,04/02/2017,12219
3 AV,L,04/02/2017,4304
49 ST,NQRW,04/02/2017,13302
5 AV/59 ST,NQRW,04/02/2017,10137
57 ST-7 AV,NQRW,04/02/2017,17476
59 ST,NRW,04/02/2017,7463
8 ST-NYU,NRW,04/02/2017,10141
PRINCE ST,NRW,04/02/2017,10923
RECTOR ST,NRW,04/02/2017,4259
72 ST-2 AVE,Q,04/02/2017,10748
86 ST-2 AVE,Q,04/02/2017,12980
96 ST-2 AVE,Q,04/02/2017,8328
WHITEHALL S-FRY,R1W,04/02/2017,10014
CORTLANDT ST,RNW,04/02/2017,12114
103 ST,1,04/03/2017,11935
116 ST-COLUMBIA,1,04/03/2017,15065
125 ST,1,04/03/2017,6844
137 ST CITY COL,1,04/03/2017,14534
157 ST,1,04/03/2017,10632
18 ST,1,04/03/2017,7349
181 ST,1,04/03/2017,11494
191 ST,1,04/03/2017,8308
207 ST,1,04/03/2017,6279
215 ST,1,04/03/2017,1938
28 ST,1,04/03/2017,13882
50 ST,1,04/03/2017,20934
66 ST-LINCOLN,1,04/03/2017,20359
79 ST,1,04/03/2017,14265
86 ST,1,04/03/2017,17648
CANAL ST,1,04/03/2017,5706
CHRISTOPHER ST,1,04/03/2017,12982
DYCKMAN ST,1,04/03/2017,7139
HOUSTON ST,1,04/03/2017,14064
RECTOR ST,1,04/03/2017,9175
TWENTY THIRD ST,1,04/03/2017,33476
145 ST,3,04/03/2017,3525
HARLEM 148 ST,3,04/03/2017,3942
103 ST,6,04/03/2017,14497
110 ST,6,04/03/2017,12012
116 ST,6,04/03/2017,15858
23 ST,6,04/03/2017,29377
28 ST,6,04/03/2017,21090
33 ST,6,04/03/2017,28244
51 ST,6,04/03/2017,18597
51 ST,6,04/03/2017,18597
68ST-HUNTER CO,6,04/03/2017,25238
96 ST,6,04/03/2017,19237
ASTOR PL,6,04/03/2017,14269
SPRING ST,6,04/03/2017,8790
34 ST-HUDSON YD,7,04/03/2017,8660
116 ST,23,04/03/2017,11346
125 ST,23,04/03/2017,14815
135 ST,23,04/03/2017,14283
CENTRAL PK N110,23,04/03/2017,8813
BOWLING GREEN,45,04/03/2017,31017
WALL ST,45,04/03/2017,20758
72 ST,123,04/03/2017,35923
96 ST,123,04/03/2017,35888
