23 ST, CE, 04/23/2017, 9565, 
SPRING ST, CE, 04/23/2017, 3133, 
5 AV/53 ST, EM, 04/23/2017, 2, 
57 ST, F, 04/23/2017, 7567, 
EAST BROADWAY, F, 04/23/2017, 7634, 
LEXINGTON AV/63, F, 04/23/2017, 9676, 
DELANCEY/ESSEX, FJMZ, 04/23/2017, 13704, 
14 ST, FLM123, 04/23/2017, 7453, 
14 ST, FLM123, 04/23/2017, 7453, 
6 AV, FLM123, 04/23/2017, 3188, 
23 ST, FM, 04/23/2017, 9008, 
CANAL ST, JNQRZ6W, 04/23/2017, 30350, 
BOWERY, JZ, 04/23/2017, 2753, 
BROAD ST, JZ, 04/23/2017, 2407, 
CHAMBERS ST, JZ456, 04/23/2017, 2440, 
1 AV, L, 04/23/2017, 11744, 
3 AV, L, 04/23/2017, 4128, 
49 ST, NQRW, 04/23/2017, 12750, 
5 AV/59 ST, NQRW, 04/23/2017, 10307, 
57 ST-7 AV, NQRW, 04/23/2017, 17122, 
59 ST, NRW, 04/23/2017, 8372, 
8 ST-NYU, NRW, 04/23/2017, 9999, 
PRINCE ST, NRW, 04/23/2017, 9924, 
RECTOR ST, NRW, 04/23/2017, 5438, 
72 ST-2 AVE, Q, 04/23/2017, 10821, 
86 ST-2 AVE, Q, 04/23/2017, 13380, 
96 ST-2 AVE, Q, 04/23/2017, 8647, 
WHITEHALL S-FRY, R1W, 04/23/2017, 14363, 
CORTLANDT ST, RNW, 04/23/2017, 14189, 
103 ST, 1, 04/24/2017, 12088, 
116 ST-COLUMBIA, 1, 04/24/2017, 14860, 
125 ST, 1, 04/24/2017, 6712, 
137 ST CITY COL, 1, 04/24/2017, 14417, 
157 ST, 1, 04/24/2017, 10357, 
18 ST, 1, 04/24/2017, 7508, 
181 ST, 1, 04/24/2017, 11313, 
191 ST, 1, 04/24/2017, 8277, 
207 ST, 1, 04/24/2017, 6224, 
215 ST, 1, 04/24/2017, 1943, 
28 ST, 1, 04/24/2017, 13815, 
50 ST, 1, 04/24/2017, 21752, 
66 ST-LINCOLN, 1, 04/24/2017, 20708, 
79 ST, 1, 04/24/2017, 14391, 
