Main Class Initiated!
Table Created!
...
Refactoring by turnstyle...
Refactoring by station...
Printing relevant...
16514 36
 CANAL ST,  JNQRZ6W,  04/03/2017, -295558518, 
 14 ST-UNION SQ,  LNQR456W,  04/03/2017, 64776, 
 49 ST,  NQRW,  04/03/2017, 21236, 
 57 ST-7 AV,  NQRW,  04/03/2017, 29023, 
 23 ST,  NRW,  04/03/2017, 22104, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/04/2017, 1732280868, 
 34 ST-PENN STA,  123ACE,  04/04/2017, 47821, 
 14 ST,  123FLM,  04/04/2017, 20206, 
 FULTON ST,  2345ACJZ,  04/04/2017, 1295207, 
 GRD CNTRL-42 ST,  4567S,  04/04/2017, -1782983613, 
 59 ST,  456NQRW,  04/04/2017, 1786212724, 
 145 ST,  ABCD,  04/04/2017, 23502, 
 59 ST COLUMBUS,  ABCD1,  04/04/2017, 53002, 
 W 4 ST-WASH SQ,  ABCDEFM,  04/04/2017, 36080, 
 125 ST,  ACBD,  04/04/2017, 26239, 
 CHAMBERS ST,  ACE23,  04/04/2017, 32259, 
 42 ST-PORT AUTH,  ACENQRS1237W,  04/04/2017, -1101015693, 
 47-50 STS ROCK,  BDFM,  04/04/2017, 54029, 
 42 ST-BRYANT PK,  BDFM7,  04/04/2017, 36808, 
 34 ST-HERALD SQ,  BDFMNQRW,  04/04/2017, 125554439, 
 23 ST,  CE,  04/04/2017, 21309, 
 5 AV/53 ST,  EM,  04/04/2017, 25799, 
 LEXINGTON AV/53,  EM6,  04/04/2017, 40668861, 
 23 ST,  FM,  04/04/2017, -1237825412, 
 CANAL ST,  JNQRZ6W,  04/04/2017, -295563158, 
 14 ST-UNION SQ,  LNQR456W,  04/04/2017, 63895, 
 49 ST,  NQRW,  04/04/2017, 21550, 
 57 ST-7 AV,  NQRW,  04/04/2017, 30213, 
 23 ST,  NRW,  04/04/2017, 22879, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/05/2017, 1732291574, 
 34 ST-PENN STA,  123ACE,  04/05/2017, 49331, 
 14 ST,  123FLM,  04/05/2017, 21364, 
 FULTON ST,  2345ACJZ,  04/05/2017, 1293808, 
 GRD CNTRL-42 ST,  4567S,  04/05/2017, -1782976121, 
 59 ST,  456NQRW,  04/05/2017, 1786216217, 
 145 ST,  ABCD,  04/05/2017, 24774, 
 59 ST COLUMBUS,  ABCD1,  04/05/2017, 54586, 
 W 4 ST-WASH SQ,  ABCDEFM,  04/05/2017, 38260, 
 125 ST,  ACBD,  04/05/2017, 28234, 
 CHAMBERS ST,  ACE23,  04/05/2017, 32644, 
 42 ST-PORT AUTH,  ACENQRS1237W,  04/05/2017, -1101022624, 
 47-50 STS ROCK,  BDFM,  04/05/2017, 55280, 
 42 ST-BRYANT PK,  BDFM7,  04/05/2017, 39035, 
 34 ST-HERALD SQ,  BDFMNQRW,  04/05/2017, 125566308, 
 23 ST,  CE,  04/05/2017, 22288, 
 5 AV/53 ST,  EM,  04/05/2017, 25463, 
 LEXINGTON AV/53,  EM6,  04/05/2017, 40673286, 
 23 ST,  FM,  04/05/2017, -1237835370, 
 CANAL ST,  JNQRZ6W,  04/05/2017, -295565461, 
 14 ST-UNION SQ,  LNQR456W,  04/05/2017, 68739, 
 49 ST,  NQRW,  04/05/2017, 22734, 
 57 ST-7 AV,  NQRW,  04/05/2017, 31610, 
 23 ST,  NRW,  04/05/2017, 23836, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/06/2017, 1798959107, 
 34 ST-PENN STA,  123ACE,  04/06/2017, 51878, 
 14 ST,  123FLM,  04/06/2017, 19434, 
 FULTON ST,  2345ACJZ,  04/06/2017, 1296066, 
 GRD CNTRL-42 ST,  4567S,  04/06/2017, -1782964471, 
 59 ST,  456NQRW,  04/06/2017, 1786217574, 
 145 ST,  ABCD,  04/06/2017, 23091, 
 59 ST COLUMBUS,  ABCD1,  04/06/2017, 52417, 
 W 4 ST-WASH SQ,  ABCDEFM,  04/06/2017, 35337, 
 125 ST,  ACBD,  04/06/2017, 25908, 
 CHAMBERS ST,  ACE23,  04/06/2017, 31216, 
 42 ST-PORT AUTH,  ACENQRS1237W,  04/06/2017, -1101022401, 
 47-50 STS ROCK,  BDFM,  04/06/2017, 58008, 
 42 ST-BRYANT PK,  BDFM7,  04/06/2017, 37830, 
 34 ST-HERALD SQ,  BDFMNQRW,  04/06/2017, 125577842, 
 23 ST,  CE,  04/06/2017, 22190, 
 5 AV/53 ST,  EM,  04/06/2017, 28332, 
 LEXINGTON AV/53,  EM6,  04/06/2017, 40678839, 
 23 ST,  FM,  04/06/2017, -1237846500, 
 CANAL ST,  JNQRZ6W,  04/06/2017, -295571334, 
 14 ST-UNION SQ,  LNQR456W,  04/06/2017, 62608, 
 49 ST,  NQRW,  04/06/2017, 22375, 
 57 ST-7 AV,  NQRW,  04/06/2017, 30255, 
 23 ST,  NRW,  04/06/2017, 22894, 
 TIMES SQ-42 ST,  1237ACENQRSW,  04/07/2017, 1732309502, 
 34 ST-PENN STA,  123ACE,  04/07/2017, 50653, 
 14 ST,  123FLM,  04/07/2017, 20751, 
 FULTON ST,  2345ACJZ,  04/07/2017, 1291916, 
 GRD CNTRL-42 ST,  4567S,  04/07/2017, -1782956717, 
 59 ST,  456NQRW,  04/07/2017, 1786220718, 
 145 ST,  ABCD,  04/07/2017, 23265, 
 59 ST COLUMBUS,  ABCD1,  04/07/2017, 50346, 
 W 4 ST-WASH SQ,  ABCDEFM,  04/07/2017, 37055, 
 125 ST,  ACBD,  04/07/2017, 27658, 
 CHAMBERS ST,  ACE23,  04/07/2017, 29060, 
 42 ST-PORT AUTH,  ACENQRS1237W,  04/07/2017, -1101035565, 
 47-50 STS ROCK,  BDFM,  04/07/2017, 55216, 
