18 ST, 1, 04/28/2017, 8016, 
215 ST, 1, 04/28/2017, 2058, 
86 ST, 1, 04/28/2017, 18227, 
CANAL ST, 1, 04/28/2017, 5799, 
DYCKMAN ST, 1, 04/28/2017, 7132, 
HARLEM 148 ST, 3, 04/28/2017, 4078, 
103 ST, 6, 04/28/2017, 14651, 
110 ST, 6, 04/28/2017, 12179, 
28 ST, 6, 04/28/2017, 20610, 
33 ST, 6, 04/28/2017, 28089, 
51 ST, 6, 04/28/2017, 19467, 
116 ST, 23, 04/28/2017, 11812, 
125 ST, 23, 04/28/2017, 15895, 
135 ST, 23, 04/28/2017, 14661, 
BOWLING GREEN, 45, 04/28/2017, 29982, 
96 ST, 123, 04/28/2017, 37267, 
59 ST, 456NQRW, 04/28/2017, 40767, 
181 ST, A, 04/28/2017, 11482, 
181 ST, A, 04/28/2017, 11482, 
DYCKMAN ST, A, 04/28/2017, 6859, 
CHAMBERS ST, ACE23, 04/28/2017, 29646, 
14 ST, ACEL, 04/28/2017, 19310, 
103 ST, BC, 04/28/2017, 4897, 
103 ST, BC, 04/28/2017, 4897, 
72 ST, BC, 04/28/2017, 9297, 
96 ST, BC, 04/28/2017, 9891, 
CATHEDRAL PKWY, BC, 04/28/2017, 7802, 
155 ST, C, 04/28/2017, 2837, 
6 AV, FLM123, 04/28/2017, 5288, 
23 ST, FM, 04/28/2017, 26353, 
CANAL ST, JNQRZ6W, 04/28/2017, 46243, 
1 AV, L, 04/28/2017, 19266, 
57 ST-7 AV, NQRW, 04/28/2017, 30167, 
23 ST, NRW, 04/28/2017, 21994, 
RECTOR ST, NRW, 04/28/2017, 6761, 
