 96 ST,  BC,  04/10/2017, 8677, 
 CATHEDRAL PKWY,  BC,  04/10/2017, 6724, 
 155 ST,  C,  04/10/2017, 2326, 
 6 AV,  FLM123,  04/10/2017, 4695, 
 23 ST,  FM,  04/10/2017, 24909, 
 CANAL ST,  JNQRZ6W,  04/10/2017, 45984, 
 1 AV,  L,  04/10/2017, 16491, 
 57 ST-7 AV,  NQRW,  04/10/2017, 28390, 
 23 ST,  NRW,  04/10/2017, 19929, 
 RECTOR ST,  NRW,  04/10/2017, 6437, 
 59 ST,  456NQRW,  04/11/2017, 37620, 
 181 ST,  A,  04/11/2017, 9761, 
 181 ST,  A,  04/11/2017, 9761, 
 DYCKMAN ST,  A,  04/11/2017, 6369, 
 CHAMBERS ST,  ACE23,  04/11/2017, 26414, 
 14 ST,  ACEL,  04/11/2017, 16732, 
 103 ST,  BC,  04/11/2017, 4482, 
 103 ST,  BC,  04/11/2017, 4482, 
 72 ST,  BC,  04/11/2017, 9598, 
 86 ST,  BC,  04/11/2017, 9166, 
 96 ST,  BC,  04/11/2017, 8477, 
 CATHEDRAL PKWY,  BC,  04/11/2017, 7159, 
 155 ST,  C,  04/11/2017, 2441, 
 6 AV,  FLM123,  04/11/2017, 4671, 
 23 ST,  FM,  04/11/2017, 25890, 
 CANAL ST,  JNQRZ6W,  04/11/2017, 47138, 
 1 AV,  L,  04/11/2017, 16909, 
 57 ST-7 AV,  NQRW,  04/11/2017, 29317, 
 23 ST,  NRW,  04/11/2017, 21137, 
 RECTOR ST,  NRW,  04/11/2017, 6770, 
 59 ST,  456NQRW,  04/12/2017, 38451, 
 181 ST,  A,  04/12/2017, 9738, 
 181 ST,  A,  04/12/2017, 9738, 
 DYCKMAN ST,  A,  04/12/2017, 6174, 
 CHAMBERS ST,  ACE23,  04/12/2017, 25648, 
 14 ST,  ACEL,  04/12/2017, 16124, 
 103 ST,  BC,  04/12/2017, 4168, 
 103 ST,  BC,  04/12/2017, 4168, 
 72 ST,  BC,  04/12/2017, 9010, 
 86 ST,  BC,  04/12/2017, 9751, 
 96 ST,  BC,  04/12/2017, 8710, 
 CATHEDRAL PKWY,  BC,  04/12/2017, 7201, 
 155 ST,  C,  04/12/2017, 2405, 
 6 AV,  FLM123,  04/12/2017, 4900, 
 23 ST,  FM,  04/12/2017, 25819, 
 CANAL ST,  JNQRZ6W,  04/12/2017, 45170, 
 1 AV,  L,  04/12/2017, 15338, 
 57 ST-7 AV,  NQRW,  04/12/2017, 29358, 
 23 ST,  NRW,  04/12/2017, 20938, 
 RECTOR ST,  NRW,  04/12/2017, 6447, 
 59 ST,  456NQRW,  04/13/2017, 39477, 
 181 ST,  A,  04/13/2017, 10186, 
 181 ST,  A,  04/13/2017, 10186, 
 DYCKMAN ST,  A,  04/13/2017, 6460, 
 CHAMBERS ST,  ACE23,  04/13/2017, 26886, 
 14 ST,  ACEL,  04/13/2017, 17468, 
 103 ST,  BC,  04/13/2017, 4477, 
 103 ST,  BC,  04/13/2017, 4477, 
 72 ST,  BC,  04/13/2017, 9432, 
 86 ST,  BC,  04/13/2017, 10338, 
 96 ST,  BC,  04/13/2017, 9072, 
 CATHEDRAL PKWY,  BC,  04/13/2017, 7139, 
 155 ST,  C,  04/13/2017, 2525, 
 6 AV,  FLM123,  04/13/2017, 4912, 
 23 ST,  FM,  04/13/2017, 27224, 
 CANAL ST,  JNQRZ6W,  04/13/2017, 48723, 
 1 AV,  L,  04/13/2017, 17198, 
 57 ST-7 AV,  NQRW,  04/13/2017, 30294, 
 23 ST,  NRW,  04/13/2017, 21681, 
 RECTOR ST,  NRW,  04/13/2017, 7168, 
 59 ST,  456NQRW,  04/14/2017, 31382, 
 181 ST,  A,  04/14/2017, 9152, 
 181 ST,  A,  04/14/2017, 9152, 
 DYCKMAN ST,  A,  04/14/2017, 5780, 
 CHAMBERS ST,  ACE23,  04/14/2017, 20955, 
 14 ST,  ACEL,  04/14/2017, 15841, 
 103 ST,  BC,  04/14/2017, 4247, 
 103 ST,  BC,  04/14/2017, 4247, 
 72 ST,  BC,  04/14/2017, 8899, 
 86 ST,  BC,  04/14/2017, 8192, 
 96 ST,  BC,  04/14/2017, 7520, 
 CATHEDRAL PKWY,  BC,  04/14/2017, 6864, 
 155 ST,  C,  04/14/2017, 2327, 
 6 AV,  FLM123,  04/14/2017, 4914, 
 23 ST,  FM,  04/14/2017, 22227, 
 CANAL ST,  JNQRZ6W,  04/14/2017, 47011, 
 1 AV,  L,  04/14/2017, 16460, 
 57 ST-7 AV,  NQRW,  04/14/2017, 25351, 
 23 ST,  NRW,  04/14/2017, 18854, 
 RECTOR ST,  NRW,  04/14/2017, 5886, 
 59 ST,  456NQRW,  04/15/2017, 20687, 
 181 ST,  A,  04/15/2017, 6296, 
 181 ST,  A,  04/15/2017, 6296, 
 DYCKMAN ST,  A,  04/15/2017, 4264, 
 CHAMBERS ST,  ACE23,  04/15/2017, 6941, 
 14 ST,  ACEL,  04/15/2017, 8929, 
 103 ST,  BC,  04/15/2017, 1660, 
 103 ST,  BC,  04/15/2017, 1660, 
 72 ST,  BC,  04/15/2017, 1841, 
 86 ST,  BC,  04/15/2017, 2172, 
 96 ST,  BC,  04/15/2017, 2681, 
 CATHEDRAL PKWY,  BC,  04/15/2017, 2432, 
 155 ST,  C,  04/15/2017, 1754, 
 6 AV,  FLM123,  04/15/2017, 3669, 
 23 ST,  FM,  04/15/2017, 10648, 
 CANAL ST,  JNQRZ6W,  04/15/2017, 37720, 
 1 AV,  L,  04/15/2017, 11837, 
 57 ST-7 AV,  NQRW,  04/15/2017, 19624, 
 23 ST,  NRW,  04/15/2017, 11803, 
 RECTOR ST,  NRW,  04/15/2017, 7537, 
 59 ST,  456NQRW,  04/16/2017, 14410, 
 181 ST,  A,  04/16/2017, 5149, 
 181 ST,  A,  04/16/2017, 5149, 
 DYCKMAN ST,  A,  04/16/2017, 3565, 
 CHAMBERS ST,  ACE23,  04/16/2017, 4613, 
 14 ST,  ACEL,  04/16/2017, 6632, 
 103 ST,  BC,  04/16/2017, 1561, 
 103 ST,  BC,  04/16/2017, 1561, 
 72 ST,  BC,  04/16/2017, 2243, 
 86 ST,  BC,  04/16/2017, 1950, 
 96 ST,  BC,  04/16/2017, 2228, 
 CATHEDRAL PKWY,  BC,  04/16/2017, 2133, 
 155 ST,  C,  04/16/2017, 1415, 
 6 AV,  FLM123,  04/16/2017, 2481, 
 23 ST,  FM,  04/16/2017, 7728, 
 CANAL ST,  JNQRZ6W,  04/16/2017, 29492, 
 1 AV,  L,  04/16/2017, 8667, 
 57 ST-7 AV,  NQRW,  04/16/2017, 16088, 
 23 ST,  NRW,  04/16/2017, 8655, 
 RECTOR ST,  NRW,  04/16/2017, 5113, 
 59 ST,  456NQRW,  04/17/2017, 34393, 
 181 ST,  A,  04/17/2017, 9042, 
 181 ST,  A,  04/17/2017, 9042, 
 DYCKMAN ST,  A,  04/17/2017, 5836, 
 CHAMBERS ST,  ACE23,  04/17/2017, 24340, 
 14 ST,  ACEL,  04/17/2017, 14756, 
 103 ST,  BC,  04/17/2017, 3997, 
 103 ST,  BC,  04/17/2017, 3997, 
 72 ST,  BC,  04/17/2017, 7897, 
 86 ST,  BC,  04/17/2017, 8901, 
 96 ST,  BC,  04/17/2017, 8255, 
 CATHEDRAL PKWY,  BC,  04/17/2017, 6526, 
 155 ST,  C,  04/17/2017, 2219, 
 6 AV,  FLM123,  04/17/2017, 4402, 
 23 ST,  FM,  04/17/2017, 24779, 
 CANAL ST,  JNQRZ6W,  04/17/2017, 42757, 
 1 AV,  L,  04/17/2017, 15465, 
 57 ST-7 AV,  NQRW,  04/17/2017, 27035, 
 23 ST,  NRW,  04/17/2017, 18957, 
 RECTOR ST,  NRW,  04/17/2017, 6209, 
 59 ST,  456NQRW,  04/18/2017, 38165, 
 181 ST,  A,  04/18/2017, 9828, 
 181 ST,  A,  04/18/2017, 9828, 
 DYCKMAN ST,  A,  04/18/2017, 6222, 
 CHAMBERS ST,  ACE23,  04/18/2017, 27067, 
 14 ST,  ACEL,  04/18/2017, 16309, 
 103 ST,  BC,  04/18/2017, 4315, 
 103 ST,  BC,  04/18/2017, 4315, 
 72 ST,  BC,  04/18/2017, 8351, 
 86 ST,  BC,  04/18/2017, 10078, 
 96 ST,  BC,  04/18/2017, 8876, 
 CATHEDRAL PKWY,  BC,  04/18/2017, 6988, 
 155 ST,  C,  04/18/2017, 2365, 
 6 AV,  FLM123,  04/18/2017, 4723, 
 23 ST,  FM,  04/18/2017, 26672, 
 CANAL ST,  JNQRZ6W,  04/18/2017, 44159, 
 1 AV,  L,  04/18/2017, 16673, 
 57 ST-7 AV,  NQRW,  04/18/2017, 30202, 
 23 ST,  NRW,  04/18/2017, 21422, 
 RECTOR ST,  NRW,  04/18/2017, 6529, 
 59 ST,  456NQRW,  04/19/2017, 40508, 
 181 ST,  A,  04/19/2017, 11419, 
 181 ST,  A,  04/19/2017, 11419, 
 DYCKMAN ST,  A,  04/19/2017, 6942, 
 CHAMBERS ST,  ACE23,  04/19/2017, 31552, 
 14 ST,  ACEL,  04/19/2017, 19862, 
 103 ST,  BC,  04/19/2017, 4796, 
 103 ST,  BC,  04/19/2017, 4796, 
 72 ST,  BC,  04/19/2017, 8678, 
 86 ST,  BC,  04/19/2017, 11081, 
 96 ST,  BC,  04/19/2017, 9931, 
 CATHEDRAL PKWY,  BC,  04/19/2017, 7628, 
 155 ST,  C,  04/19/2017, 2904, 
 6 AV,  FLM123,  04/19/2017, 5100, 
 23 ST,  FM,  04/19/2017, 28784, 
 CANAL ST,  JNQRZ6W,  04/19/2017, 44062, 
 1 AV,  L,  04/19/2017, 19488, 
 57 ST-7 AV,  NQRW,  04/19/2017, 31024, 
 23 ST,  NRW,  04/19/2017, 23833, 
 RECTOR ST,  NRW,  04/19/2017, 6829, 
 59 ST,  456NQRW,  04/20/2017, 40358, 
 181 ST,  A,  04/20/2017, 11728, 
 181 ST,  A,  04/20/2017, 11728, 
 DYCKMAN ST,  A,  04/20/2017, 6968, 
 CHAMBERS ST,  ACE23,  04/20/2017, 31644, 
 14 ST,  ACEL,  04/20/2017, 19303, 
 103 ST,  BC,  04/20/2017, 4743, 
 103 ST,  BC,  04/20/2017, 4743, 
 72 ST,  BC,  04/20/2017, 8622, 
 86 ST,  BC,  04/20/2017, 11025, 
 96 ST,  BC,  04/20/2017, 9861, 
 CATHEDRAL PKWY,  BC,  04/20/2017, 7663, 
 155 ST,  C,  04/20/2017, 2863, 
 6 AV,  FLM123,  04/20/2017, 5089, 
 23 ST,  FM,  04/20/2017, 27995, 
 CANAL ST,  JNQRZ6W,  04/20/2017, 43355, 
