Station, Line, Date, Swipes
BRONX PARK EAST, 25, 12/01/2016, 2841
BURKE AV, 25, 12/01/2016, 3635
CHURCH AV, 25, 12/01/2016, 10132
E 180 ST, 25, 12/01/2016, 8335
FLATBUSH AV-B.C, 25, 12/01/2016, 22912
FREEMAN ST, 25, 12/01/2016, 5328
GUN HILL RD, 25, 12/01/2016, 7699
INTERVALE AV, 25, 12/01/2016, 3503
JACKSON AV, 25, 12/01/2016, 6069
NEREID AV, 25, 12/01/2016, 3911
NEWKIRK AV, 25, 12/01/2016, 7833
PELHAM PKWY, 25, 12/01/2016, 9331
PRESIDENT ST, 25, 12/01/2016, 4759
PROSPECT AV, 25, 12/01/2016, 8255
SIMPSON ST, 25, 12/01/2016, 9793
STERLING ST, 25, 12/01/2016, 6281
WEST FARMS SQ, 25, 12/01/2016, 7735
WINTHROP ST, 25, 12/01/2016, 7498
CROWN HTS-UTICA, 34, 12/01/2016, 34661
138/GRAND CONC, 45, 12/01/2016, 3749
BOWLING GREEN, 45, 12/01/2016, 34389
WALL ST, 45, 12/01/2016, 21765
34 ST-PENN STA, 123, 12/01/2016, 38101
72 ST, 123, 12/01/2016, 37634
96 ST, 123, 12/01/2016, 38197
CHAMBERS ST, 123, 12/01/2016, 26389
149/GRAND CONC, 245, 12/01/2016, 16005
125 ST, 456, 12/01/2016, 29885
86 ST, 456, 12/01/2016, 67796
NEVINS ST, 2345, 12/01/2016, 11939
TIMES SQ-42 ST, 1237ACENQRSW, 12/01/2016, 84855
34 ST-PENN STA, 123ACE, 12/01/2016, 54162
14 ST, 123FLM, 12/01/2016, 25628
59 ST COLUMBUS, 1ABCD, 12/01/2016, 16972
168 ST, 1AC, 12/01/2016, 14884
SOUTH FERRY, 1RW, 12/01/2016, 14584
FULTON ST, 2345ACJZ, 12/01/2016, 60422
ATL AV-BARCLAY, 2345BDNQR, 12/01/2016, 22636
BOROUGH HALL, 2345R, 12/01/2016, 39710
FRANKLIN AV, 2345S, 12/01/2016, 15267
PARK PLACE, 23ACE, 12/01/2016, 4036
GRD CNTRL-42 ST, 4567S, 12/01/2016, 159489
BROOKLYN BRIDGE, 456JZ, 12/01/2016, 24054
14 ST-UNION SQ, 456LNQRW, 12/01/2016, 29175
59 ST, 456NQRW, 12/01/2016, 51810
161/YANKEE STAD, 4BD, 12/01/2016, 9329
BLEECKER ST, 6DF, 12/01/2016, 17210
5 AVE, 7BDFM, 12/01/2016, 14386
74 ST-BROADWAY, 7EFMR, 12/01/2016, 3226
QUEENSBORO PLZ, 7NQW, 12/01/2016, 14292
104 ST, A, 12/01/2016, 2090
111 ST, A, 12/01/2016, 2739
175 ST, A, 12/01/2016, 14058
181 ST, A, 12/01/2016, 11889
190 ST, A, 12/01/2016, 5112
80 ST, A, 12/01/2016, 4740
88 ST, A, 12/01/2016, 3242
AQUEDUCT N.COND, A, 12/01/2016, 1162
AQUEDUCT RACETR, A, 12/01/2016, 1845
BEACH 25 ST, A, 12/01/2016, 2307
BEACH 36 ST, A, 12/01/2016, 1056
BEACH 44 ST, A, 12/01/2016, 768
BEACH 60 ST, A, 12/01/2016, 2706
BEACH 67 ST, A, 12/01/2016, 2603
DYCKMAN ST, A, 12/01/2016, 6961
FAR ROCKAWAY, A, 12/01/2016, 5436
GRANT AV, A, 12/01/2016, 7004
HOWARD BCH JFK, A, 12/01/2016, 2929
INWOOD-207 ST, A, 12/01/2016, 9533
OZONE PK LEFFRT, A, 12/01/2016, 8491
ROCKAWAY BLVD, A, 12/01/2016, 8107
145 ST, ABCD, 12/01/2016, 27651
59 ST COLUMBUS, ABCD1, 12/01/2016, 64492
W 4 ST-WASH SQ, ABCDEFM, 12/01/2016, 35169
EUCLID AV, AC, 12/01/2016, 12176
HIGH ST, AC, 12/01/2016, 8962
NOSTRAND AV, AC, 12/01/2016, 19535
UTICA AV, AC, 12/01/2016, 16782
168 ST, AC1, 12/01/2016, 12879
125 ST, ACBD, 12/01/2016, 32093
34 ST-PENN STA, ACE, 12/01/2016, 85861
CANAL ST, ACE, 12/01/2016, 20162
CHAMBERS ST, ACE23, 12/01/2016, 37805
WORLD TRADE CTR, ACE23, 12/01/2016, 15388
14 ST, ACEL, 12/01/2016, 18641
8 AV, ACEL, 12/01/2016, 19191
42 ST-PORT AUTH, ACENQRS1237W, 12/01/2016, 97564
TIMES SQ-42 ST, ACENQRS1237W, 12/01/2016, 14307
JAY ST-METROTEC, ACF, 12/01/2016, 47431
HOYT-SCHER, ACG, 12/01/2016, 10837
BROADWAY JCT, ACJLZ, 12/01/2016, 10049
FULTON ST, ACJZ2345, 12/01/2016, 29443
FRANKLIN AV, ACS, 12/01/2016, 6190
BEACH 105 ST, AS, 12/01/2016, 299
BEACH 90 ST, AS, 12/01/2016, 880
BEACH 98 ST, AS, 12/01/2016, 595
BROAD CHANNEL, AS, 12/01/2016, 339
ROCKAWAY PARK B, AS, 12/01/2016, 729
103 ST, BC, 12/01/2016, 4424
116 ST, BC, 12/01/2016, 7423
135 ST, BC, 12/01/2016, 6169
72 ST, BC, 12/01/2016, 9146
81 ST-MUSEUM, BC, 12/01/2016, 11450
86 ST, BC, 12/01/2016, 12978
96 ST, BC, 12/01/2016, 11097
CATHEDRAL PKWY, BC, 12/01/2016, 7605
155 ST, BD, 12/01/2016, 4114
167 ST, BD, 12/01/2016, 11305
170 ST, BD, 12/01/2016, 7697
174-175 STS, BD, 12/01/2016, 5853
182-183 STS, BD, 12/01/2016, 5608
BEDFORD PK BLVD, BD, 12/01/2016, 7823
FORDHAM RD, BD, 12/01/2016, 13263
GRAND ST, BD, 12/01/2016, 23942
KINGSBRIDGE RD, BD, 12/01/2016, 8582
TREMONT AV, BD, 12/01/2016, 10674
161/YANKEE STAD, BD4, 12/01/2016, 16151
7 AV, BDE, 12/01/2016, 15649
47-50 STS ROCK, BDFM, 12/01/2016, 70750
42 ST-BRYANT PK, BDFM7, 12/01/2016, 46920
34 ST-HERALD SQ, BDFMNQRW, 12/01/2016, 129560
B'WAY-LAFAYETTE, BDFQ6, 12/01/2016, 19212
DEKALB AV, BDNQR, 12/01/2016, 21827
ATL AV-BARCLAY, BDNQR2345, 12/01/2016, 25107
7 AV, BQ, 12/01/2016, 9662
AVENUE H, BQ, 12/01/2016, 3909
AVENUE J, BQ, 12/01/2016, 6931
AVENUE M, BQ, 12/01/2016, 7135
AVENUE U, BQ, 12/01/2016, 7737
BEVERLEY ROAD, BQ, 12/01/2016, 3298
BRIGHTON BEACH, BQ, 12/01/2016, 14595
CHURCH AV, BQ, 12/01/2016, 18731
CORTELYOU RD, BQ, 12/01/2016, 6761
KINGS HWY, BQ, 12/01/2016, 22126
NECK RD, BQ, 12/01/2016, 4874
NEWKIRK PLAZA, BQ, 12/01/2016, 11327
PARKSIDE AV, BQ, 12/01/2016, 5453
SHEEPSHEAD BAY, BQ, 12/01/2016, 14979
PROSPECT PARK, BQS, 12/01/2016, 10573
155 ST, C, 12/01/2016, 2868
163 ST-AMSTERDM, C, 12/01/2016, 4646
CLINTON-WASH AV, C, 12/01/2016, 7656
KINGSTON-THROOP, C, 12/01/2016, 6871
LAFAYETTE AV, C, 12/01/2016, 4623
LIBERTY AV, C, 12/01/2016, 3401
RALPH AV, C, 12/01/2016, 5907
ROCKAWAY AV, C, 12/01/2016, 5889
SHEPHERD AV, C, 12/01/2016, 3626
VAN SICLEN AVE, C, 12/01/2016, 3455
23 ST, CE, 12/01/2016, 26112
50 ST, CE, 12/01/2016, 20825
SPRING ST, CE, 12/01/2016, 13208
18 AV, D, 12/01/2016, 6493
20 AV, D, 12/01/2016, 4987
25 AV, D, 12/01/2016, 7239
50 ST, D, 12/01/2016, 3624
55 ST, D, 12/01/2016, 2383
71 ST, D, 12/01/2016, 6427
79 ST, D, 12/01/2016, 7207
9 AV, D, 12/01/2016, 6095
BAY 50 ST, D, 12/01/2016, 3516
BAY PKWY, D, 12/01/2016, 8505
FT HAMILTON PKY, D, 12/01/2016, 4639
NORWOOD 205 ST, D, 12/01/2016, 9273
4 AV-9 ST, DFGMNR, 12/01/2016, 3722
4AV-9 ST, DFGMNR, 12/01/2016, 10034
CONEY IS-STILLW, DFNQ, 12/01/2016, 11952
36 ST, DNR, 12/01/2016, 13847
JAMAICA VAN WK, E, 12/01/2016, 5107
JFK JAMAICA CT1, E, 12/01/2016, 7591
75 AV, EF, 12/01/2016, 3823
BRIARWOOD, EF, 12/01/2016, 5584
KEW GARDENS, EF, 12/01/2016, 28708
FOREST HILLS 71, EFMR, 12/01/2016, 29106
JKSN HT-ROOSVLT, EFMR7, 12/01/2016, 50759
JAMAICA CENTER, EJZ, 12/01/2016, 45147
SUTPHIN-ARCHER, EJZ, 12/01/2016, 25451
5 AV/53 ST, EM, 12/01/2016, 27078
LEXINGTON AV/53, EM6, 12/01/2016, 48369
COURT SQ, EMG, 12/01/2016, 12294
COURT SQ-23 ST, EMG, 12/01/2016, 9516
QUEENS PLAZA, EMR, 12/01/2016, 12346
169 ST, F, 12/01/2016, 9756
18 AV, F, 12/01/2016, 4656
2 AV, F, 12/01/2016, 16899
21 ST-QNSBRIDGE, F, 12/01/2016, 10529
57 ST, F, 12/01/2016, 13986
AVENUE I, F, 12/01/2016, 1819
AVENUE N, F, 12/01/2016, 3207
AVENUE P, F, 12/01/2016, 2653
AVENUE U, F, 12/01/2016, 2669
AVENUE X, F, 12/01/2016, 2822
BAY PKWY, F, 12/01/2016, 1213
DITMAS AV, F, 12/01/2016, 4099
EAST BROADWAY, F, 12/01/2016, 15517
JAMAICA 179 ST, F, 12/01/2016, 24964
KINGS HWY, F, 12/01/2016, 5125
LEXINGTON AV/63, F, 12/01/2016, 19512
NEPTUNE AV, F, 12/01/2016, 1962
PARSONS BLVD, F, 12/01/2016, 7243
ROOSEVELT ISLND, F, 12/01/2016, 7333
SUTPHIN BLVD, F, 12/01/2016, 4753
YORK ST, F, 12/01/2016, 9656
15 ST-PROSPECT, FG, 12/01/2016, 6671
7 AV, FG, 12/01/2016, 12430
BERGEN ST, FG, 12/01/2016, 11451
CARROLL ST, FG, 12/01/2016, 13011
CHURCH AV, FG, 12/01/2016, 10821
FT HAMILTON PKY, FG, 12/01/2016, 6490
SMITH-9 ST, FG, 12/01/2016, 5001
DELANCEY/ESSEX, FJMZ, 12/01/2016, 23409
14 ST, FLM123, 12/01/2016, 20526
6 AV, FLM123, 12/01/2016, 6128
23 ST, FM, 12/01/2016, 34049
W 8 ST-AQUARIUM, FQ, 12/01/2016, 2000
21 ST, G, 12/01/2016, 1646
BEDFORD-NOSTRAN, G, 12/01/2016, 9109
BROADWAY, G, 12/01/2016, 4546
CLASSON AV, G, 12/01/2016, 5328
CLINTON-WASH AV, G, 12/01/2016, 5105
FLUSHING AV, G, 12/01/2016, 2979
FULTON ST, G, 12/01/2016, 6206
GREENPOINT AV, G, 12/01/2016, 9967
MYRTLE-WILLOUGH, G, 12/01/2016, 6073
NASSAU ST, G, 12/01/2016, 9515
METROPOLITAN AV, GL, 12/01/2016, 7775
111 ST, J, 12/01/2016, 2822
85 ST-FOREST PK, J, 12/01/2016, 4254
ALABAMA AV, J, 12/01/2016, 2500
CLEVELAND ST, J, 12/01/2016, 3597
CYPRESS HILLS, J, 12/01/2016, 1657
HALSEY ST, J, 12/01/2016, 6368
KOSCIUSZKO ST, J, 12/01/2016, 5193
FLUSHING AV, JM, 12/01/2016, 8981
HEWES ST, JM, 12/01/2016, 2477
LORIMER ST, JM, 12/01/2016, 5141
MARCY AV, JMZ, 12/01/2016, 14383
MYRTLE AV, JMZ, 12/01/2016, 11796
CANAL ST, JNQRZ6W, 12/01/2016, 39156
104 ST, JZ, 12/01/2016, 2940
121 ST, JZ, 12/01/2016, 2388
75 ST-ELDERTS, JZ, 12/01/2016, 4132
BOWERY, JZ, 12/01/2016, 3425
BROAD ST, JZ, 12/01/2016, 7331
CHAUNCEY ST, JZ, 12/01/2016, 3321
CRESCENT ST, JZ, 12/01/2016, 5248
GATES AV, JZ, 12/01/2016, 6888
NORWOOD AV, JZ, 12/01/2016, 3677
VAN SICLEN AV, JZ, 12/01/2016, 3126
WOODHAVEN BLVD, JZ, 12/01/2016, 5254
CHAMBERS ST, JZ456, 12/01/2016, 12595
1 AV, L, 12/01/2016, 22740
3 AV, L, 12/01/2016, 6927
ATLANTIC AV, L, 12/01/2016, 2006
BEDFORD AV, L, 12/01/2016, 27461
BUSHWICK AV, L, 12/01/2016, 2273
CANARSIE-ROCKAW, L, 12/01/2016, 13534
DEKALB AV, L, 12/01/2016, 12995
EAST 105 ST, L, 12/01/2016, 4248
GRAHAM AV, L, 12/01/2016, 11041
GRAND ST, L, 12/01/2016, 7586
HALSEY ST, L, 12/01/2016, 8685
JEFFERSON ST, L, 12/01/2016, 7787
LIVONIA AV, L, 12/01/2016, 3477
MONTROSE AV, L, 12/01/2016, 7223
MORGAN AV, L, 12/01/2016, 7787
NEW LOTS, L, 12/01/2016, 5611
SUTTER AV, L, 12/01/2016, 4828
WILSON AV, L, 12/01/2016, 4699
LORIMER ST, LG, 12/01/2016, 5786
MYRTLE-WYCKOFF, LM, 12/01/2016, 21002
14 ST-UNION SQ, LNQR456W, 12/01/2016, 62248
CENTRAL AV, M, 12/01/2016, 4047
FOREST AVE, M, 12/01/2016, 4554
FRESH POND RD, M, 12/01/2016, 6487
KNICKERBOCKER, M, 12/01/2016, 4480
METROPOLITAN AV, M, 12/01/2016, 5041
SENECA AVE, M, 12/01/2016, 2908
36 ST, MR, 12/01/2016, 4828
46 ST, MR, 12/01/2016, 9674
63 DR-REGO PARK, MR, 12/01/2016, 18261
65 ST, MR, 12/01/2016, 3848
67 AV, MR, 12/01/2016, 10297
ELMHURST AV, MR, 12/01/2016, 13996
GRAND-NEWTOWN, MR, 12/01/2016, 20667
NORTHERN BLVD, MR, 12/01/2016, 7753
STEINWAY ST, MR, 12/01/2016, 14915
WOODHAVEN BLVD, MR, 12/01/2016, 22213
18 AV, N, 12/01/2016, 2074
20 AV, N, 12/01/2016, 1018
8 AV, N, 12/01/2016, 14164
86 ST, N, 12/01/2016, 1093
AVENUE U, N, 12/01/2016, 1213
BAY PKWY, N, 12/01/2016, 12010
FT HAMILTON PKY, N, 12/01/2016, 1377
KINGS HWY, N, 12/01/2016, 1176
NEW UTRECHT AV, ND, 12/01/2016, 6269
59 ST, NQR456W, 12/01/2016, 18355
49 ST, NQRW, 12/01/2016, 27274
5 AV/59 ST, NQRW, 12/01/2016, 17029
57 ST-7 AV, NQRW, 12/01/2016, 31776
30 AV, NQW, 12/01/2016, 15715
36 AV, NQW, 12/01/2016, 7754
39 AV, NQW, 12/01/2016, 3395
ASTORIA BLVD, NQW, 12/01/2016, 12886
ASTORIA DITMARS, NQW, 12/01/2016, 18742
BROADWAY, NQW, 12/01/2016, 13494
23 ST, NRW, 12/01/2016, 27852
28 ST, NRW, 12/01/2016, 13950
59 ST, NRW, 12/01/2016, 14206
8 ST-NYU, NRW, 12/01/2016, 18340
CITY HALL, NRW, 12/01/2016, 7897
PRINCE ST, NRW, 12/01/2016, 14365
RECTOR ST, NRW, 12/01/2016, 7207
OCEAN PKWY, Q, 12/01/2016, 3549
25 ST, R, 12/01/2016, 4160
45 ST, R, 12/01/2016, 7384
53 ST, R, 12/01/2016, 7785
77 ST, R, 12/01/2016, 6243
86 ST, R, 12/01/2016, 13663
BAY RIDGE AV, R, 12/01/2016, 8938
BAY RIDGE-95 ST, R, 12/01/2016, 6474
JAY ST-METROTEC, R, 12/01/2016, 4459
PROSPECT AV, R, 12/01/2016, 6238
RIT-MANHATTAN, R, 12/01/2016, 2694
RIT-ROOSEVELT, R, 12/01/2016, 2962
UNION ST, R, 12/01/2016, 6892
WHITEHALL S-FRY, R1W, 12/01/2016, 16305
BOROUGH HALL, R2345, 12/01/2016, 2545
CORTLANDT ST, RNW, 12/01/2016, 15676
PARK PLACE, S, 12/01/2016, 1848
BOTANIC GARDEN, S2345, 12/01/2016, 1781
103 ST, 1, 12/02/2016, 12571
116 ST-COLUMBIA, 1, 12/02/2016, 15532
125 ST, 1, 12/02/2016, 8531
137 ST CITY COL, 1, 12/02/2016, 14308
145 ST, 1, 12/02/2016, 10534
14TH STREET, 1, 12/02/2016, 8203
157 ST, 1, 12/02/2016, 11121
18 ST, 1, 12/02/2016, 8917
181 ST, 1, 12/02/2016, 12674
191 ST, 1, 12/02/2016, 9199
207 ST, 1, 12/02/2016, 7188
215 ST, 1, 12/02/2016, 2245
23 ST, 1, 12/02/2016, 13259
231 ST, 1, 12/02/2016, 10556
238 ST, 1, 12/02/2016, 4682
28 ST, 1, 12/02/2016, 13681
50 ST, 1, 12/02/2016, 27460
66 ST-LINCOLN, 1, 12/02/2016, 21398
79 ST, 1, 12/02/2016, 15513
86 ST, 1, 12/02/2016, 18454
9TH STREET, 1, 12/02/2016, 3685
CANAL ST, 1, 12/02/2016, 5367
CATHEDRAL PKWY, 1, 12/02/2016, 12673
CHRISTOPHER ST, 1, 12/02/2016, 13464
CITY / BUS, 1, 12/02/2016, 16035
DYCKMAN ST, 1, 12/02/2016, 8055
EXCHANGE PLACE, 1, 12/02/2016, 16929
FRANKLIN ST, 1, 12/02/2016, 5414
GROVE STREET, 1, 12/02/2016, 20005
HARRISON, 1, 12/02/2016, 8542
HOUSTON ST, 1, 12/02/2016, 13517
JOURNAL SQUARE, 1, 12/02/2016, 21025
LACKAWANNA, 1, 12/02/2016, 7893
MARBLE HILL-225, 1, 12/02/2016, 6149
NEWARK BM BW, 1, 12/02/2016, 15525
NEWARK C, 1, 12/02/2016, 5468
NEWARK HM HE, 1, 12/02/2016, 0
NEWARK HW BMEBE, 1, 12/02/2016, 5358
PAVONIA/NEWPORT, 1, 12/02/2016, 19342
RECTOR ST, 1, 12/02/2016, 10148
ST. GEORGE, 1, 12/02/2016, 14505
THIRTY ST, 1, 12/02/2016, 7856
THIRTY THIRD ST, 1, 12/02/2016, 19842
TOMPKINSVILLE, 1, 12/02/2016, 847
TWENTY THIRD ST, 1, 12/02/2016, 8525
V.CORTLANDT PK, 1, 12/02/2016, 8131
WAKEFIELD/241, 2, 12/02/2016, 5266
145 ST, 3, 12/02/2016, 3956
HARLEM 148 ST, 3, 12/02/2016, 4339
KINGSTON AV, 3, 12/02/2016, 5128
NEW LOTS AV, 3, 12/02/2016, 6718
NOSTRAND AV, 3, 12/02/2016, 4389
ROCKAWAY AV, 3, 12/02/2016, 7159
SARATOGA AV, 3, 12/02/2016, 6495
VAN SICLEN AV, 3, 12/02/2016, 6676
167 ST, 4, 12/02/2016, 10481
170 ST, 4, 12/02/2016, 10044
176 ST, 4, 12/02/2016, 6991
183 ST, 4, 12/02/2016, 6762
BEDFORD PK BLVD, 4, 12/02/2016, 6222
BURNSIDE AV, 4, 12/02/2016, 11800
FORDHAM RD, 4, 12/02/2016, 12253
KINGSBRIDGE RD, 4, 12/02/2016, 9885
MOSHOLU PKWY, 4, 12/02/2016, 9106
MT EDEN AV, 4, 12/02/2016, 6006
WOODLAWN, 4, 12/02/2016, 7634
BAYCHESTER AV, 5, 12/02/2016, 4388
EASTCHSTER/DYRE, 5, 12/02/2016, 4883
GUN HILL RD, 5, 12/02/2016, 6159
MORRIS PARK, 5, 12/02/2016, 2549
PELHAM PKWY, 5, 12/02/2016, 3442
103 ST, 6, 12/02/2016, 16638
110 ST, 6, 12/02/2016, 13788
116 ST, 6, 12/02/2016, 17178
23 ST, 6, 12/02/2016, 26089
28 ST, 6, 12/02/2016, 21688
3 AV 138 ST, 6, 12/02/2016, 8272
33 ST, 6, 12/02/2016, 28658
68ST-HUNTER CO, 6, 12/02/2016, 33791
77 ST, 6, 12/02/2016, 35319
96 ST, 6, 12/02/2016, 26477
ASTOR PL, 6, 12/02/2016, 15160
BROOK AV, 6, 12/02/2016, 6558
BUHRE AV, 6, 12/02/2016, 3886
CASTLE HILL AV, 6, 12/02/2016, 7506
CYPRESS AV, 6, 12/02/2016, 4288
E 143/ST MARY'S, 6, 12/02/2016, 1059
E 149 ST, 6, 12/02/2016, 5059
ELDER AV, 6, 12/02/2016, 6838
HUNTS POINT AV, 6, 12/02/2016, 10792
LONGWOOD AV, 6, 12/02/2016, 3657
MIDDLETOWN RD, 6, 12/02/2016, 2173
MORISN AV/SNDVW, 6, 12/02/2016, 7355
PARKCHESTER, 6, 12/02/2016, 17121
PELHAM BAY PARK, 6, 12/02/2016, 7868
SPRING ST, 6, 12/02/2016, 11944
ST LAWRENCE AV, 6, 12/02/2016, 4482
WESTCHESTER SQ, 6, 12/02/2016, 7116
WHITLOCK AV, 6, 12/02/2016, 2100
ZEREGA AV, 6, 12/02/2016, 2738
103 ST-CORONA, 7, 12/02/2016, 21660
111 ST, 7, 12/02/2016, 11988
33 ST-RAWSON ST, 7, 12/02/2016, 12581
34 ST-HUDSON YD, 7, 12/02/2016, 8580
40 ST LOWERY ST, 7, 12/02/2016, 11240
46 ST BLISS ST, 7, 12/02/2016, 14927
52 ST, 7, 12/02/2016, 6499
61 ST WOODSIDE, 7, 12/02/2016, 17281
69 ST, 7, 12/02/2016, 4749
82 ST-JACKSON H, 7, 12/02/2016, 16446
90 ST-ELMHURST, 7, 12/02/2016, 18122
COURT SQ, 7, 12/02/2016, 4749
FLUSHING-MAIN, 7, 12/02/2016, 62498
HUNTERS PT AV, 7, 12/02/2016, 7054
JUNCTION BLVD, 7, 12/02/2016, 23428
METS-WILLETS PT, 7, 12/02/2016, 206514
VERNON-JACKSON, 7, 12/02/2016, 17128
116 ST, 23, 12/02/2016, 11820
125 ST, 23, 12/02/2016, 15351
135 ST, 23, 12/02/2016, 15933
BERGEN ST, 23, 12/02/2016, 3838
CENTRAL PK N110, 23, 12/02/2016, 10204
CLARK ST, 23, 12/02/2016, 5819
EASTN PKWY-MUSM, 23, 12/02/2016, 4524
GRAND ARMY PLAZ, 23, 12/02/2016, 7974
HOYT ST, 23, 12/02/2016, 8093
WALL ST, 23, 12/02/2016, 25540
174 ST, 25, 12/02/2016, 7814
219 ST, 25, 12/02/2016, 3618
225 ST, 25, 12/02/2016, 4737
233 ST, 25, 12/02/2016, 5486
3 AV-149 ST, 25, 12/02/2016, 27153
ALLERTON AV, 25, 12/02/2016, 5637
BEVERLY RD, 25, 12/02/2016, 4968
BRONX PARK EAST, 25, 12/02/2016, 2822
BURKE AV, 25, 12/02/2016, 3576
CHURCH AV, 25, 12/02/2016, 10152
E 180 ST, 25, 12/02/2016, 8291
FLATBUSH AV-B.C, 25, 12/02/2016, 20916
FREEMAN ST, 25, 12/02/2016, 5222
GUN HILL RD, 25, 12/02/2016, 7824
INTERVALE AV, 25, 12/02/2016, 3489
JACKSON AV, 25, 12/02/2016, 6020
NEREID AV, 25, 12/02/2016, 3816
NEWKIRK AV, 25, 12/02/2016, 7864
PELHAM PKWY, 25, 12/02/2016, 9340
PRESIDENT ST, 25, 12/02/2016, 4522
PROSPECT AV, 25, 12/02/2016, 8362
SIMPSON ST, 25, 12/02/2016, 10072
STERLING ST, 25, 12/02/2016, 6279
WEST FARMS SQ, 25, 12/02/2016, 7744
WINTHROP ST, 25, 12/02/2016, 7471
CROWN HTS-UTICA, 34, 12/02/2016, 34446
138/GRAND CONC, 45, 12/02/2016, 3815
BOWLING GREEN, 45, 12/02/2016, 32500
WALL ST, 45, 12/02/2016, 20764
34 ST-PENN STA, 123, 12/02/2016, 36747
72 ST, 123, 12/02/2016, 38015
96 ST, 123, 12/02/2016, 38448
CHAMBERS ST, 123, 12/02/2016, 23642
149/GRAND CONC, 245, 12/02/2016, 14846
125 ST, 456, 12/02/2016, 29530
86 ST, 456, 12/02/2016, 68893
NEVINS ST, 2345, 12/02/2016, 11682
TIMES SQ-42 ST, 1237ACENQRSW, 12/02/2016, 83355
34 ST-PENN STA, 123ACE, 12/02/2016, 50954
14 ST, 123FLM, 12/02/2016, 25103
59 ST COLUMBUS, 1ABCD, 12/02/2016, 15827
168 ST, 1AC, 12/02/2016, 13876
SOUTH FERRY, 1RW, 12/02/2016, 13916
FULTON ST, 2345ACJZ, 12/02/2016, 60038
ATL AV-BARCLAY, 2345BDNQR, 12/02/2016, 22426
BOROUGH HALL, 2345R, 12/02/2016, 36990
FRANKLIN AV, 2345S, 12/02/2016, 14985
PARK PLACE, 23ACE, 12/02/2016, 3584
GRD CNTRL-42 ST, 4567S, 12/02/2016, 152300
BROOKLYN BRIDGE, 456JZ, 12/02/2016, 21765
14 ST-UNION SQ, 456LNQRW, 12/02/2016, 30696
59 ST, 456NQRW, 12/02/2016, 51494
161/YANKEE STAD, 4BD, 12/02/2016, 9700
BLEECKER ST, 6DF, 12/02/2016, 16785
5 AVE, 7BDFM, 12/02/2016, 14308
74 ST-BROADWAY, 7EFMR, 12/02/2016, 3330
QUEENSBORO PLZ, 7NQW, 12/02/2016, 13785
104 ST, A, 12/02/2016, 1970
111 ST, A, 12/02/2016, 2559
175 ST, A, 12/02/2016, 14221
181 ST, A, 12/02/2016, 11276
190 ST, A, 12/02/2016, 4932
80 ST, A, 12/02/2016, 4504
88 ST, A, 12/02/2016, 3134
AQUEDUCT N.COND, A, 12/02/2016, 1105
AQUEDUCT RACETR, A, 12/02/2016, 2036
BEACH 25 ST, A, 12/02/2016, 2171
BEACH 36 ST, A, 12/02/2016, 1070
BEACH 44 ST, A, 12/02/2016, 766
BEACH 60 ST, A, 12/02/2016, 2746
BEACH 67 ST, A, 12/02/2016, 2516
DYCKMAN ST, A, 12/02/2016, 6925
FAR ROCKAWAY, A, 12/02/2016, 5390
GRANT AV, A, 12/02/2016, 7030
HOWARD BCH JFK, A, 12/02/2016, 2875
INWOOD-207 ST, A, 12/02/2016, 9301
OZONE PK LEFFRT, A, 12/02/2016, 8084
ROCKAWAY BLVD, A, 12/02/2016, 8084
145 ST, ABCD, 12/02/2016, 27095
59 ST COLUMBUS, ABCD1, 12/02/2016, 57968
W 4 ST-WASH SQ, ABCDEFM, 12/02/2016, 36601
EUCLID AV, AC, 12/02/2016, 11730
HIGH ST, AC, 12/02/2016, 9013
NOSTRAND AV, AC, 12/02/2016, 19729
UTICA AV, AC, 12/02/2016, 16635
168 ST, AC1, 12/02/2016, 13331
125 ST, ACBD, 12/02/2016, 32032
34 ST-PENN STA, ACE, 12/02/2016, 86650
CANAL ST, ACE, 12/02/2016, 20240
CHAMBERS ST, ACE23, 12/02/2016, 34120
WORLD TRADE CTR, ACE23, 12/02/2016, 15349
14 ST, ACEL, 12/02/2016, 18772
8 AV, ACEL, 12/02/2016, 20853
42 ST-PORT AUTH, ACENQRS1237W, 12/02/2016, 96746
TIMES SQ-42 ST, ACENQRS1237W, 12/02/2016, 13669
JAY ST-METROTEC, ACF, 12/02/2016, 43935
HOYT-SCHER, ACG, 12/02/2016, 10607
BROADWAY JCT, ACJLZ, 12/02/2016, 10083
FULTON ST, ACJZ2345, 12/02/2016, 29630
FRANKLIN AV, ACS, 12/02/2016, 6197
BEACH 105 ST, AS, 12/02/2016, 293
BEACH 90 ST, AS, 12/02/2016, 866
BEACH 98 ST, AS, 12/02/2016, 553
BROAD CHANNEL, AS, 12/02/2016, 309
ROCKAWAY PARK B, AS, 12/02/2016, 698
103 ST, BC, 12/02/2016, 4793
116 ST, BC, 12/02/2016, 7712
135 ST, BC, 12/02/2016, 6203
72 ST, BC, 12/02/2016, 10209
81 ST-MUSEUM, BC, 12/02/2016, 12956
86 ST, BC, 12/02/2016, 12747
96 ST, BC, 12/02/2016, 11210
CATHEDRAL PKWY, BC, 12/02/2016, 7981
155 ST, BD, 12/02/2016, 4144
167 ST, BD, 12/02/2016, 11407
170 ST, BD, 12/02/2016, 7675
174-175 STS, BD, 12/02/2016, 5922
182-183 STS, BD, 12/02/2016, 5612
BEDFORD PK BLVD, BD, 12/02/2016, 7429
